QTPy channel,Samples averaged,ADC code,QTPy identifier
AI0,1,2899.0,48ca43576cdc
AI1,1,2800.0,48ca43576cdc
AI2,1,2621.0,48ca43576cdc
AI3,1,2581.0,48ca43576cdc
AI4,1,2601.0,48ca43576cdc
AI5,1,2601.0,48ca43576cdc
AI6,1,2641.0,48ca43576cdc
AI7,1,3078.0,48ca43576cdc
AI0,10,2992.4,48ca43576cdc
AI1,10,2938.8,48ca43576cdc
AI2,10,2565.1,48ca43576cdc
AI3,10,2605.0,48ca43576cdc
AI4,10,2575.2,48ca43576cdc
AI5,10,2531.6,48ca43576cdc
AI6,10,2573.3,48ca43576cdc
AI7,10,2922.8,48ca43576cdc
AI0,20,2952.6,48ca43576cdc
AI1,20,2917.9,48ca43576cdc
AI2,20,2528.6,48ca43576cdc
AI3,20,2539.5,48ca43576cdc
AI4,20,2595.0,48ca43576cdc
AI5,20,2622.75,48ca43576cdc
AI6,20,2572.2,48ca43576cdc
AI7,20,2856.3,48ca43576cdc
AI0,50,2936.7,48ca43576cdc
AI1,50,2951.82,48ca43576cdc
AI2,50,2567.6,48ca43576cdc
AI3,50,2564.8,48ca43576cdc
AI4,50,2574.78,48ca43576cdc
AI5,50,2586.68,48ca43576cdc
AI6,50,2568.84,48ca43576cdc
AI7,50,2936.74,48ca43576cdc
AI0,100,2936.74,48ca43576cdc
AI1,100,2945.09,48ca43576cdc
AI2,100,2543.68,48ca43576cdc
AI3,100,2582.72,48ca43576cdc
AI4,100,2603.78,48ca43576cdc
AI5,100,2587.9,48ca43576cdc
AI6,100,2584.12,48ca43576cdc
AI7,100,2941.74,48ca43576cdc
AI0,200,2928.71,48ca43576cdc
AI1,200,2941.4,48ca43576cdc
AI2,200,2570.6,48ca43576cdc
AI3,200,2573.58,48ca43576cdc
AI4,200,2577.71,48ca43576cdc
AI5,200,2576.96,48ca43576cdc
AI6,200,2583.35,48ca43576cdc
AI7,200,2941.24,48ca43576cdc
AI0,500,2942.55,48ca43576cdc
AI1,500,2935.05,48ca43576cdc
AI2,500,2555.41,48ca43576cdc
AI3,500,2560.4,48ca43576cdc
AI4,500,2571.3,48ca43576cdc
AI5,500,2571.23,48ca43576cdc
AI6,500,2585.59,48ca43576cdc
AI7,500,2932.35,48ca43576cdc
AI0,1000,2938.33,48ca43576cdc
AI1,1000,2937.68,48ca43576cdc
AI2,1000,2560.78,48ca43576cdc
AI3,1000,2570.78,48ca43576cdc
AI4,1000,2572.92,48ca43576cdc
AI5,1000,2579.24,48ca43576cdc
AI6,1000,2573.28,48ca43576cdc
AI7,1000,2938.67,48ca43576cdc
AI0,2000,2944.66,48ca43576cdc
AI1,2000,2940.88,48ca43576cdc
AI2,2000,2564.97,48ca43576cdc
AI3,2000,2570.32,48ca43576cdc
AI4,2000,2575.64,48ca43576cdc
AI5,2000,2574.47,48ca43576cdc
AI6,2000,2588.56,48ca43576cdc
AI7,2000,2940.05,48ca43576cdc
AI0,1,2899.0,48ca43576cdc
AI1,1,2978.0,48ca43576cdc
AI2,1,2561.0,48ca43576cdc
AI3,1,2442.0,48ca43576cdc
AI4,1,2522.0,48ca43576cdc
AI5,1,2680.0,48ca43576cdc
AI6,1,2581.0,48ca43576cdc
AI7,1,2959.0,48ca43576cdc
AI0,10,2932.9,48ca43576cdc
AI1,10,2970.4,48ca43576cdc
AI2,10,2614.8,48ca43576cdc
AI3,10,2597.0,48ca43576cdc
AI4,10,2513.7,48ca43576cdc
AI5,10,2595.2,48ca43576cdc
AI6,10,2563.2,48ca43576cdc
AI7,10,2960.7,48ca43576cdc
AI0,20,2929.8,48ca43576cdc
AI1,20,2922.8,48ca43576cdc
AI2,20,2531.55,48ca43576cdc
AI3,20,2555.3,48ca43576cdc
AI4,20,2544.4,48ca43576cdc
AI5,20,2591.05,48ca43576cdc
AI6,20,2533.55,48ca43576cdc
AI7,20,2971.6,48ca43576cdc
AI0,50,2951.06,48ca43576cdc
AI1,50,2945.06,48ca43576cdc
AI2,50,2572.8,48ca43576cdc
AI3,50,2545.02,48ca43576cdc
AI4,50,2496.56,48ca43576cdc
AI5,50,2540.58,48ca43576cdc
AI6,50,2601.06,48ca43576cdc
AI7,50,2937.5,48ca43576cdc
AI0,100,2948.29,48ca43576cdc
AI1,100,2957.41,48ca43576cdc
AI2,100,2559.86,48ca43576cdc
AI3,100,2603.16,48ca43576cdc
AI4,100,2592.61,48ca43576cdc
AI5,100,2578.94,48ca43576cdc
AI6,100,2590.66,48ca43576cdc
AI7,100,2944.67,48ca43576cdc
AI0,200,2945.17,48ca43576cdc
AI1,200,2934.77,48ca43576cdc
AI2,200,2544.69,48ca43576cdc
AI3,200,2564.96,48ca43576cdc
AI4,200,2589.19,48ca43576cdc
AI5,200,2567.15,48ca43576cdc
AI6,200,2584.72,48ca43576cdc
AI7,200,2943.92,48ca43576cdc
AI0,500,2945.39,48ca43576cdc
AI1,500,2942.16,48ca43576cdc
AI2,500,2565.29,48ca43576cdc
AI3,500,2583.24,48ca43576cdc
AI4,500,2578.99,48ca43576cdc
AI5,500,2587.05,48ca43576cdc
AI6,500,2583.81,48ca43576cdc
AI7,500,2939.61,48ca43576cdc
AI0,1000,2938.91,48ca43576cdc
AI1,1000,2932.21,48ca43576cdc
AI2,1000,2567.17,48ca43576cdc
AI3,1000,2569.05,48ca43576cdc
AI4,1000,2580.35,48ca43576cdc
AI5,1000,2585.77,48ca43576cdc
AI6,1000,2586.09,48ca43576cdc
AI7,1000,2936.74,48ca43576cdc
AI0,2000,2942.14,48ca43576cdc
AI1,2000,2940.02,48ca43576cdc
AI2,2000,2565.58,48ca43576cdc
AI3,2000,2572.53,48ca43576cdc
