QTPy channel,Samples averaged,ADC code,QTPy identifier
AI0,1,59895.0,48ca43576cdc
AI1,1,59994.0,48ca43576cdc
AI2,1,58882.0,48ca43576cdc
AI3,1,59636.0,48ca43576cdc
AI4,1,59775.0,48ca43576cdc
AI5,1,59974.0,48ca43576cdc
AI6,1,59636.0,48ca43576cdc
AI7,1,59795.0,48ca43576cdc
AI0,10,59795.4,48ca43576cdc
AI1,10,59876.6,48ca43576cdc
AI2,10,59576.9,48ca43576cdc
AI3,10,59526.9,48ca43576cdc
AI4,10,59447.6,48ca43576cdc
AI5,10,59688.0,48ca43576cdc
AI6,10,59560.8,48ca43576cdc
AI7,10,59976.0,48ca43576cdc
AI0,20,59916.3,48ca43576cdc
AI1,20,59916.4,48ca43576cdc
AI2,20,59648.3,48ca43576cdc
AI3,20,59655.3,48ca43576cdc
AI4,20,59539.0,48ca43576cdc
AI5,20,59522.1,48ca43576cdc
AI6,20,59591.7,48ca43576cdc
AI7,20,59838.9,48ca43576cdc
AI0,50,59898.5,48ca43576cdc
AI1,50,59856.0,48ca43576cdc
AI2,50,59562.9,48ca43576cdc
AI3,50,59569.3,48ca43576cdc
AI4,50,59534.6,48ca43576cdc
AI5,50,59565.6,48ca43576cdc
AI6,50,59537.0,48ca43576cdc
AI7,50,59855.2,48ca43576cdc
AI0,100,59859.4,48ca43576cdc
AI1,100,59873.8,48ca43576cdc
AI2,100,59524.7,48ca43576cdc
AI3,100,59581.9,48ca43576cdc
AI4,100,59550.0,48ca43576cdc
AI5,100,59506.0,48ca43576cdc
AI6,100,59571.9,48ca43576cdc
AI7,100,59877.9,48ca43576cdc
AI0,200,59862.1,48ca43576cdc
AI1,200,59864.5,48ca43576cdc
AI2,200,59558.8,48ca43576cdc
AI3,200,59537.5,48ca43576cdc
AI4,200,59515.5,48ca43576cdc
AI5,200,59573.0,48ca43576cdc
AI6,200,59551.2,48ca43576cdc
AI7,200,59855.1,48ca43576cdc
AI0,500,59862.3,48ca43576cdc
