raw x,raw y,raw z,monotonic ns
1,-2,14,6460979919439
1,-2,14,6460983642581
3,0,13,6460986724859
3,0,13,6460989501956
3,0,13,6460992309572
3,-1,14,6460995117187
3,-1,14,6460998016370
3,-1,14,6461000885022
2,-1,13,6461003723155
2,-1,13,6461006713879
2,-1,13,6461009704602
2,-1,13,6461012512218
3,-1,13,6461015319833
3,-1,13,6461018127449
3,-1,13,6461020996100
3,-2,14,6461023895270
3,-2,14,6461026763921
3,-2,14,6461029754645
3,-2,14,6461032745368
3,-2,12,6461035644538
3,-2,12,6461038452153
3,-2,12,6461041320805
3,-1,15,6461044128420
3,-1,15,6461046997072
3,-1,15,6461049835205
2,0,13,6461052795411
2,0,13,6461055694580
2,0,13,6461058563245
2,-1,13,6461062438977
2,-1,13,6461065338147
2,-1,13,6461068145762
2,-1,13,6461070953378
2,0,14,6461073760993
2,0,14,6461076751717
2,0,14,6461079742440
3,-1,14,6461082702646
3,-1,14,6461085601815
3,-1,14,6461088439949
3,-1,14,6461091400154
2,-1,14,6461094390878
2,-1,14,6461097381601
2,-1,14,6461100219735
4,-1,14,6461103088386
4,-1,14,6461105896002
4,-1,14,6461108856207
2,-1,14,6461111724859
2,-1,14,6461114624028
2,-1,14,6461117401126
2,-1,14,6461120300295
3,-1,13,6461123107911
3,-1,13,6461125915540
3,-1,13,6461128753673
3,-1,14,6461131622325
3,-1,14,6461134460458
3,-1,14,6461138336190
2,-1,14,6461141174324
2,-1,14,6461143981939
2,-1,14,6461146820073
2,-1,14,6461149688724
2,-2,15,6461152496340
2,-2,15,6461155303955
2,-2,15,6461158142102
2,-1,14,6461161010754
2,-1,14,6461163879405
2,-1,14,6461166778575
2,-1,14,6461169647226
2,0,14,6461172454842
2,0,14,6461175415047
2,0,14,6461178375253
2,-1,14,6461181243904
2,-1,14,6461184082038
2,-1,14,6461186889653
2,0,13,6461189758305
2,0,13,6461192718510
2,0,13,6461195617680
2,0,13,6461198455813
2,-1,12,6461201385501
2,-1,12,6461204284670
2,-1,12,6461207092286
2,-2,12,6461209930433
2,-2,12,6461212799084
2,-2,12,6461216552744
3,-2,16,6461219360360
3,-2,16,6461222198493
3,-2,16,6461225158699
3,-2,16,6461227966314
3,-1,13,6461230804448
3,-1,13,6461233673099
3,-1,13,6461236541751
3,-1,15,6461239440920
3,-1,15,6461242309572
3,-1,15,6461245178223
3,-1,15,6461248016370
3,-1,15,6461250823986
3,-1,15,6461253784191
3,-1,15,6461256683361
3,0,13,6461259521494
3,0,13,6461262298592
3,0,13,6461265136725
2,-1,14,6461268005377
