raw x,raw y,raw z,monotonic ns
2,-2,14,7893518829349
2,-2,13,7893532440188
2,0,13,7893545104983
3,-2,14,7893557769777
2,-2,13,7893570434572
2,-2,12,7893583099366
2,-3,12,7893595733643
1,-1,14,7893608398437
3,-3,13,7893621063245
3,-2,13,7893633728040
1,-2,13,7893646392834
1,-1,13,7893659057629
3,-2,13,7893671722423
2,-1,13,7893684356700
2,-2,14,7893697021494
2,-2,12,7893709686289
1,-1,13,7893722351083
3,-2,14,7893734985360
2,-2,14,7893747650154
3,-1,14,7893760314949
3,-2,12,7893772979743
2,-1,13,7893785644538
2,-2,13,7893798278814
1,-1,14,7893810943609
2,-1,13,7893823608403
2,-3,13,7893836273198
2,-1,13,7893848907474
2,-2,13,7893861572269
3,-2,13,7893875183108
2,-1,13,7893887817384
3,-2,13,7893900482179
1,-2,13,7893913146973
2,-1,14,7893925781250
1,-1,14,7893938446058
1,-1,13,7893951110852
3,-2,13,7893963745129
2,-1,14,7893976440441
3,-2,12,7893989105236
3,-2,14,7894001739512
2,0,15,7894014404307
2,-2,13,7894027069101
1,-2,13,7894039733896
2,-2,14,7894052520762
2,-2,14,7894065185557
2,-1,14,7894077850351
2,-3,13,7894090484628
3,-1,13,7894103149422
2,-2,13,7894115783699
2,-2,13,7894128479011
3,-2,14,7894141143806
2,-2,13,7894153778082
1,-1,14,7894166442877
2,-3,13,7894179107671
2,-2,12,7894191741948
2,-2,14,7894205352787
3,-1,13,7894218048099
2,-3,14,7894230712894
2,-2,15,7894243377688
3,-2,14,7894256073001
2,-1,14,7894268707277
3,-1,13,7894281402590
2,-2,14,7894294067384
2,-2,14,7894306701661
2,0,13,7894319366455
3,-2,11,7894332031250
2,-1,12,7894344665540
3,-2,13,7894357330334
2,-2,14,7894369995129
2,-2,14,7894382659923
2,-2,14,7894395294200
3,-2,13,7894407958994
4,-2,15,7894420623789
3,-1,13,7894433288583
1,-3,13,7894445953378
2,-2,13,7894458618172
2,-2,14,7894471282967
2,-2,13,7894483947761
3,-3,14,7894496612556
2,-2,14,7894509246832
1,-2,13,7894521911627
3,-2,12,7894534576421
2,-2,12,7894548187260
2,-1,13,7894560821537
2,-2,13,7894573516849
2,-1,12,7894586151126
2,-2,14,7894598815920
2,-1,15,7894611480715
2,-2,12,7894624145509
1,-2,12,7894636779786
2,-2,13,7894649444580
2,-2,13,7894662109375
2,-1,13,7894674743665
3,-3,14,7894687408459
2,-1,14,7894700073254
3,-1,12,7894712738048
1,-2,12,7894725402843
2,-1,13,7894738067637
2,-1,14,7894750701914
1,-1,13,7894763366708
3,-1,15,7894776031503
