Samples averaged,Raw X,Raw Y,Raw Z,QTPy identifier
1,-1.1,0.700001,20.1,48ca43576cdc
1,-1.1,-0.299999,20.1,48ca43576cdc
1,1.9,-0.299999,19.1,48ca43576cdc
1,-0.0999999,0.700001,20.1,48ca43576cdc
1,-0.0999999,0.700001,21.1,48ca43576cdc
1,-1.1,0.700001,21.1,48ca43576cdc
1,-0.0999999,-0.299999,20.1,48ca43576cdc
1,-0.0999999,0.700001,20.1,48ca43576cdc
1,-0.0999999,-0.299999,20.1,48ca43576cdc
1,-0.0999999,-0.299999,20.1,48ca43576cdc
1,-1.1,-0.299999,20.1,48ca43576cdc
1,-1.1,0.700001,20.1,48ca43576cdc
1,0.9,-0.299999,20.1,48ca43576cdc
1,0.9,-0.299999,20.1,48ca43576cdc
1,0.9,-0.299999,21.1,48ca43576cdc
1,0.9,-0.299999,20.1,48ca43576cdc
1,-0.0999999,0.700001,20.1,48ca43576cdc
1,0.9,-0.299999,21.1,48ca43576cdc
1,-0.0999999,-0.299999,21.1,48ca43576cdc
1,-0.0999999,0.700001,20.1,48ca43576cdc
1,-0.0999999,-0.299999,20.1,48ca43576cdc
1,-0.0999999,0.700001,20.1,48ca43576cdc
1,-0.0999999,-1.3,20.1,48ca43576cdc
1,-0.0999999,-0.299999,20.1,48ca43576cdc
1,-0.0999999,1.7,21.1,48ca43576cdc
1,0.9,-0.299999,22.1,48ca43576cdc
1,-0.0999999,-0.299999,21.1,48ca43576cdc
1,-1.1,1.7,20.1,48ca43576cdc
1,-0.0999999,0.700001,21.1,48ca43576cdc
1,-0.0999999,-0.299999,20.1,48ca43576cdc
2,0.9,-0.299999,20.6,48ca43576cdc
2,-0.6,-0.299999,20.6,48ca43576cdc
2,-0.0999999,0.700001,20.6,48ca43576cdc
2,0.9,-0.299999,20.6,48ca43576cdc
2,0.9,-0.299999,20.6,48ca43576cdc
2,0.4,0.200001,20.6,48ca43576cdc
2,0.4,-0.299999,20.6,48ca43576cdc
2,-0.0999999,-0.299999,20.1,48ca43576cdc
2,-0.0999999,0.700001,20.6,48ca43576cdc
2,-0.0999999,0.200001,19.6,48ca43576cdc
2,-0.0999999,0.700001,20.6,48ca43576cdc
2,-0.0999999,0.200001,20.6,48ca43576cdc
2,-0.0999999,0.200001,19.6,48ca43576cdc
2,-0.6,-0.299999,21.1,48ca43576cdc
2,0.4,0.700001,20.1,48ca43576cdc
2,-0.0999999,0.700001,20.1,48ca43576cdc
2,-0.0999999,-0.799999,20.6,48ca43576cdc
2,-0.0999999,0.700001,20.1,48ca43576cdc
2,-0.0999999,0.200001,20.1,48ca43576cdc
2,-0.0999999,-0.299999,19.6,48ca43576cdc
2,0.9,-0.299999,20.6,48ca43576cdc
2,-0.0999999,0.200001,19.6,48ca43576cdc
2,-0.6,-0.299999,20.1,48ca43576cdc
2,-0.6,-0.299999,19.6,48ca43576cdc
2,-0.0999999,-0.299999,20.6,48ca43576cdc
2,-0.0999999,0.200001,19.6,48ca43576cdc
2,0.4,-0.299999,20.6,48ca43576cdc
2,-0.0999999,0.200001,21.1,48ca43576cdc
2,-0.0999999,-0.299999,19.1,48ca43576cdc
2,-0.0999999,0.700001,19.6,48ca43576cdc
5,0.0999999,0.3,20.7,48ca43576cdc
5,0.3,-0.0999994,19.9,48ca43576cdc
5,-0.3,-0.299999,20.7,48ca43576cdc
5,0.0999999,0.3,20.1,48ca43576cdc
5,-0.0999999,-0.0999994,20.3,48ca43576cdc
5,0.0999999,-0.5,20.1,48ca43576cdc
5,0.0999999,0.3,19.9,48ca43576cdc
5,0.3,0.1,20.1,48ca43576cdc
5,-0.0999999,-0.5,20.3,48ca43576cdc
5,-0.0999999,-0.0999994,20.1,48ca43576cdc
5,0.3,0.3,20.7,48ca43576cdc
5,0.0999999,0.700001,20.1,48ca43576cdc
5,-0.0999999,0.5,20.5,48ca43576cdc
5,-0.0999999,-0.299999,20.3,48ca43576cdc
5,0.3,0.5,20.5,48ca43576cdc
5,-0.0999999,0.5,20.5,48ca43576cdc
5,0.0999999,-0.0999994,19.7,48ca43576cdc
5,0.5,-0.5,20.7,48ca43576cdc
5,0.0999999,0.5,19.9,48ca43576cdc
5,-0.3,0.3,20.7,48ca43576cdc
5,0.3,-0.0999994,20.3,48ca43576cdc
5,-0.3,-0.299999,20.3,48ca43576cdc
5,0.3,0.3,20.3,48ca43576cdc
5,0.3,0.3,20.7,48ca43576cdc
5,-0.3,0.3,20.3,48ca43576cdc
5,0.0999999,-0.299999,19.9,48ca43576cdc
5,0.0999999,-0.299999,20.3,48ca43576cdc
5,-0.0999999,0.3,20.1,48ca43576cdc
5,-0.3,0.700001,20.5,48ca43576cdc
5,0.0999999,0.1,20.7,48ca43576cdc
10,0.4,-0.5,20.4,48ca43576cdc
10,0.4,-0.0999994,19.7,48ca43576cdc
10,0.0999999,0.200001,20.5,48ca43576cdc
10,-0.3,-0.0999994,20.6,48ca43576cdc
10,0.0999999,0.3,20.7,48ca43576cdc
10,0.5,-0.0999994,20.3,48ca43576cdc
10,-0.0999999,-0.0999994,20.3,48ca43576cdc
10,-0.2,-0.0999994,20.5,48ca43576cdc
10,0.2,0.0,19.8,48ca43576cdc
10,-0.3,0.1,20.7,48ca43576cdc
10,0.0999999,0.0,20.6,48ca43576cdc
10,0.0,0.0,20.3,48ca43576cdc
10,0.3,0.200001,20.3,48ca43576cdc
10,0.0999999,0.200001,20.1,48ca43576cdc
10,0.2,0.200001,20.3,48ca43576cdc
10,-0.2,0.200001,20.6,48ca43576cdc
10,0.2,-0.2,20.2,48ca43576cdc
10,-0.0999999,0.200001,20.0,48ca43576cdc
10,-0.3,0.1,20.5,48ca43576cdc
10,0.0999999,0.3,20.4,48ca43576cdc
10,-0.0999999,0.1,20.2,48ca43576cdc
10,0.3,-0.299999,20.3,48ca43576cdc
10,0.4,-0.2,20.4,48ca43576cdc
10,0.0,0.0,20.3,48ca43576cdc
10,0.2,0.0,20.0,48ca43576cdc
10,-0.0999999,-0.2,20.7,48ca43576cdc
10,-0.2,0.1,20.6,48ca43576cdc
10,0.2,0.0,20.5,48ca43576cdc
10,0.0999999,0.1,20.6,48ca43576cdc
10,0.4,-0.2,20.2,48ca43576cdc
20,0.0499997,-0.0499992,20.45,48ca43576cdc
20,0.15,0.0500002,20.4,48ca43576cdc
20,0.15,-0.0499992,20.3,48ca43576cdc
20,0.15,0.0500002,20.25,48ca43576cdc
20,0.25,0.0,20.45,48ca43576cdc
20,0.0499997,0.0500002,20.35,48ca43576cdc
20,0.2,0.1,20.1,48ca43576cdc
20,0.0,0.200001,20.25,48ca43576cdc
20,-0.0999999,-0.2,20.25,48ca43576cdc
20,0.0999999,-0.2,20.1,48ca43576cdc
20,0.15,0.0,20.35,48ca43576cdc
20,0.15,0.1,20.4,48ca43576cdc
20,0.35,0.0500002,20.1,48ca43576cdc
20,0.0,0.0,20.2,48ca43576cdc
20,0.25,-0.25,20.5,48ca43576cdc
20,0.15,0.0500002,20.15,48ca43576cdc
20,-0.0999999,0.0,20.25,48ca43576cdc
20,0.0499997,0.150001,20.6,48ca43576cdc
20,0.0999999,-0.0499992,20.35,48ca43576cdc
20,0.0,-0.0499992,20.2,48ca43576cdc
20,0.4,-0.2,20.35,48ca43576cdc
20,0.0499997,0.200001,20.45,48ca43576cdc
20,-0.0500002,-0.0999994,20.25,48ca43576cdc
20,0.15,-0.25,20.45,48ca43576cdc
20,-0.25,-0.2,20.3,48ca43576cdc
20,0.0,0.0500002,20.6,48ca43576cdc
20,0.0999999,0.25,20.3,48ca43576cdc
20,0.0999999,-0.0499992,20.3,48ca43576cdc
20,-0.0999999,0.150001,20.25,48ca43576cdc
20,0.0499997,0.1,20.35,48ca43576cdc
50,-0.02,0.14,20.32,48ca43576cdc
50,0.2,0.04,20.38,48ca43576cdc
50,0.14,0.0800009,20.36,48ca43576cdc
50,0.0999999,0.04,20.32,48ca43576cdc
50,0.04,0.04,20.16,48ca43576cdc
50,0.0,0.240001,20.3,48ca43576cdc
50,-0.0799999,0.0600004,20.4,48ca43576cdc
50,0.24,-0.16,20.24,48ca43576cdc
50,0.0799999,0.0,20.28,48ca43576cdc
50,0.12,-0.0199995,20.44,48ca43576cdc
50,0.16,0.0600004,20.42,48ca43576cdc
50,0.0999999,0.0800009,20.42,48ca43576cdc
50,0.18,-0.0199995,20.2,48ca43576cdc
50,0.0999999,0.120001,20.28,48ca43576cdc
50,0.12,-0.0799999,20.34,48ca43576cdc
50,0.04,-0.179999,20.24,48ca43576cdc
