minutes,A0,A1,A2,A3,A4,A5,A6,A7,XL3D
0.0,2672.428657,514.1654213,6838.861929,1370.081512,19836.16328,8811.625364,16838.86193,20336.16328,83.62040816
1.811169203,2672.428657,507.2380429,6825.007172,10.775922,19786.90192,8817.013325,16825.00717,20316.92056,151.8857143
2.963004152,2658.5739,474.9102769,6821.928337,13.08504815,19425.13883,8800.079733,16821.92834,20313.07202,214.6897959
4.082005715,2654.725356,474.1405681,6823.467754,1370.081512,19392.04135,8797.770607,16823.46775,20309.99319,222.8816327
5.20067395,2656.264774,474.1405681,6825.007172,1371.620929,19392.04135,8798.540316,16825.00717,20304.60522,214.6897959
6.336008871,2656.264774,475.6799856,6826.546589,1373.930055,19395.8899,8798.540316,16826.54659,20288.44134,207.8632653
7.454677101,2654.725356,475.6799856,6828.086007,1375.469473,19388.96252,8798.540316,16828.08601,20286.90192,217.4204082
8.590178692,2657.804191,466.443481,6829.625424,1370.081512,19385.11398,8832.407499,16829.62542,20260.73183,326.644898
9.708846923,2566.978563,421.8003756,6838.09222,1360.075299,19355.86504,8803.928277,16838.09222,20259.19241,913.7265306
10.82768182,2537.729632,412.563871,6838.861929,1368.542094,19339.70116,8794.691772,16838.86193,20259.19241,1126.714286
11.94635006,2534.650797,410.2547448,6837.322511,1366.232968,19332.00407,8793.152355,16837.32251,20258.4227,1122.618367
13.08168498,2533.881088,410.2547448,6836.552802,1365.46326,19333.54349,8791.612937,16836.5528,20258.4227,1125.34898
14.20035321,2531.571962,409.4850361,6835.783094,1363.923842,19332.77378,8790.07352,16835.78309,20258.4227,1136.271429
15.31935478,2527.723418,408.7153274,6835.013385,1361.614716,19333.54349,8790.07352,16835.01338,20258.4227,1147.193878
16.43785634,2526.184001,407.9456187,6834.243676,1360.075299,19330.46466,8789.303811,16834.24368,20257.65299,1156.75102
17.57335794,2523.874875,407.9456187,6832.704259,1359.30559,19328.92524,8789.303811,16832.70426,20257.65299,1149.92449
18.69202617,2523.105166,407.17591,6832.704259,1357.766172,19326.61611,8787.764394,16832.70426,20257.65299,1126.714286
19.8106944,2521.565749,407.17591,6831.93455,1356.226755,19326.61611,8786.994685,16831.93455,20257.65299,1132.17551
20.9295293,2520.79604,405.6364926,6831.164841,1354.687338,19325.8464,8786.224976,16831.16484,20257.65299,1137.636735
22.04819753,2520.026331,404.8667838,6830.395133,1353.14792,19323.53728,8785.455268,16830.39513,20257.65299,1143.097959
23.16686577,2518.486914,404.0970751,6829.625424,1349.299377,19321.99786,8784.685559,16829.62542,20257.65299,1144.463265
24.30220069,2516.947496,403.3273664,6828.855715,1346.99025,19320.45844,8783.91585,16828.85572,20257.65299,1147.193878
25.43770228,2513.868662,401.787949,6828.855715,1343.141707,19318.91903,8783.146141,16828.85572,20257.65299,1164.942857
26.55637051,2513.868662,401.0182403,6828.086007,1333.905202,19318.14932,8781.606724,16828.08601,20257.65299,1163.577551
27.67520541,2513.868662,400.2485316,6827.316298,1333.135494,19316.6099,8780.837015,16827.3163,20257.65299,1149.92449
28.79387365,2512.329244,399.4788228,6826.546589,1331.596076,19315.07048,8780.837015,16826.54659,20257.65299,1160.846939
29.91254188,2511.559535,398.7091141,6825.77688,1330.056659,19313.53106,8780.067307,16825.77688,20256.88328,1147.193878
31.03137678,2510.789827,397.9394054,6825.77688,1329.28695,19313.53106,8779.297598,16825.77688,20256.88328,1167.673469
32.15004501,2508.480701,397.1696967,6825.007172,1329.28695,19311.99165,8779.297598,16825.00717,20256.88328,1171.769388
33.26871324,2506.171574,396.399988,6823.467754,1327.747533,19311.22194,8778.527889,16823.46775,20256.88328,1159.481633
